id;title;provincie;dna;SP,
id;title;provincie;dna;2012-0,
000965;Simpelveld;Limburg;448455;13.9,
000971;Stein;Limburg;548455;15,
000981;Vaals;Limburg;529814;14.5,
000983;Venlo;Limburg;736827;12.3,
000984;Venray;Limburg;545645;17,
000986;Voerendaal;Limburg;368454;12.5,
000988;Weert;Limburg;647736;13.4,
000994;Valkenburg aan de Geul;Limburg;459436;11.5,
000995;Lelystad;Flevoland;652917;9.6,
001507;Horst aan de Maas;Limburg;445464;15.4,
001509;Oude IJsselstreek;Gelderland;436554;12.8,
001586;Oost Gelre;Gelderland;435464;10.1,
001598;Koggenland;Noord-Holland;353373;6.7,
001621;Lansingerland;Zuid-Holland;681676;4.3,
001525;Teylingen;Zuid-Holland;684576;5.8,
001581;Utrechtse Heuvelrug;Utrecht;497565;6.2,
001659;Laarbeek;Noord-Brabant;445365;16.2,
001663;De Marne;Groningen;227332;11.9,
001667;Reusel-De Mierden;Noord-Brabant;454471;15.2,
001669;Roerdalen;Limburg;348454;12,
001671;Maasdonk;Noord-Brabant;344374;16.3,
001672;Rijnwoude;Zuid-Holland;464475;6.2,
001674;Roosendaal;Noord-Brabant;756837;11.8,
001640;Leudal;Limburg;356463;12.3,
001641;Maasgouw;Limburg;358454;11.8,
001651;Eemsmond;Groningen;326312;12.4,
001652;Gemert-Bakel;Noord-Brabant;444454;17.7,
001655;Halderberge;Noord-Brabant;456654;11.7,
001658;Heeze-Leende;Noord-Brabant;487465;12.7,
001676;Schouwen-Duiveland;Zeeland;358464;7.5,
001680;Aa en Hunze;Drenthe;357353;8,
001681;Borger-Odoorn;Drenthe;337343;9.9,
001684;Cuijk;Noord-Brabant;445745;22.5,
001685;Landerd;Noord-Brabant;344373;17.4,
001690;De Wolden;Drenthe;346373;6,
001695;Noord-Beveland;Zeeland;258463;9.3,
001696;Wijdemeren;Noord-Holland;497574;5.5,
001699;Noordenveld;Drenthe;457343;8.4,
001700;Twenterand;Overijssel;423354;8.1,
001701;Westerveld;Drenthe;258351;7.4,
001702;Sint Anthonis;Noord-Brabant;345383;24.3,
001705;Lingewaard;Gelderland;554465;11.3,
001706;Cranendonck;Noord-Brabant;456564;14.1,
001708;Steenwijkerland;Overijssel;435443;8.1,
001709;Moerdijk;Noord-Brabant;465463;11.8,
001711;Echt-Susteren;Limburg;448544;13.3,
001714;Sluis;Zeeland;349564;10,
001719;Drimmelen;Noord-Brabant;466374;11.8,
001721;Bernheze;Noord-Brabant;454365;16.5,
001722;Ferwerderadiel;Friesland;224343;10.1,
001723;Alphen-Chaam;Noord-Brabant;366473;9.4,
001724;Bergeijk;Noord-Brabant;355463;12.8,
001728;Bladel;Noord-Brabant;455474;15,
001729;Gulpen-Wittem;Limburg;349464;13.4,
001730;Tynaarlo;Drenthe;366364;6.9,
001731;Midden-Drenthe;Drenthe;346353;8,
001734;Overbetuwe;Gelderland;453464;9.4,
001735;Hof van Twente;Overijssel;446464;7.7,
001740;Neder-Betuwe;Gelderland;331364;4.2,
001742;Rijssen-Holten;Overijssel;532465;4.8,
001771;Geldrop-Mierlo;Noord-Brabant;665546;15.5,
001773;Olst-Wijhe;Overijssel;345463;9.2,
001774;Dinkelland;Overijssel;334373;7.4,
001783;Westland;Zuid-Holland;654565;4.2,
001842;Midden-Delfland;Zuid-Holland;673477;4.4,
001859;Berkelland;Gelderland;436363;10.6,
001876;Bronckhorst;Gelderland;347373;9,
001883;Sittard-Geleen;Limburg;647616;14.2,
001884;Kaag en Braassem;Zuid-Holland;464474;5.6,
001891;Dantumadiel;Friesland;315324;9.8,
001892;Zuidplas;Zuid-Holland;673665;5.7,
001894;Peel en Maas;Limburg;445463;11.2,
001895;Oldambt;Groningen;527415;15.4,
001896;Zwartewaterland;Overijssel;431364;5.3,
001900;Súdwest-Fryslân;Friesland;535424;8.9,
001901;Bodegraven-Reeuwijk;Zuid-Holland;574575;4.3,
001903;Eijsden-Margraten;Limburg;367474;10.5,
001904;Stichtse Vecht;Utrecht;675665;6,
001908;Menameradiel;Friesland;335363;8.7,
001911;Hollands Kroon;Noord-Holland;344461;8.1,
001916;Leidschendam-Voorburg;Zuid-Holland;996939;6.1,
001926;Pijnacker-Nootdorp;Zuid-Holland;681775;5.2,
001955;Montferland;Gelderland;436445;11.9,
001987;Menterwolde;Groningen;335324;13.8,
001924;Goeree-Overflakkee;Zuid-Holland;455374;,
001927;Molenwaard;Zuid-Holland;361373;,
