id;title;provincie;dna;SGP,
id;title;provincie;dna;2012-0,
001742;Rijssen-Holten;Overijssel;532465;24.9,
001771;Geldrop-Mierlo;Noord-Brabant;665546;0.1,
001773;Olst-Wijhe;Overijssel;345463;0.4,
001774;Dinkelland;Overijssel;334373;0.2,
001783;Westland;Zuid-Holland;654565;1.6,
001842;Midden-Delfland;Zuid-Holland;673477;0.6,
001859;Berkelland;Gelderland;436363;0.2,
001876;Bronckhorst;Gelderland;347373;0.8,
001883;Sittard-Geleen;Limburg;647616;0.1,
001884;Kaag en Braassem;Zuid-Holland;464474;0.4,
001891;Dantumadiel;Friesland;315324;6,
001892;Zuidplas;Zuid-Holland;673665;7.3,
001894;Peel en Maas;Limburg;445463;0.1,
001895;Oldambt;Groningen;527415;0.3,
001896;Zwartewaterland;Overijssel;431364;20.9,
001900;Súdwest-Fryslân;Friesland;535424;0.4,
001901;Bodegraven-Reeuwijk;Zuid-Holland;574575;8,
001903;Eijsden-Margraten;Limburg;367474;0.1,
001904;Stichtse Vecht;Utrecht;675665;2.1,
001908;Menameradiel;Friesland;335363;0.4,
001911;Hollands Kroon;Noord-Holland;344461;0.3,
001916;Leidschendam-Voorburg;Zuid-Holland;996939;0.4,
001926;Pijnacker-Nootdorp;Zuid-Holland;681775;0.8,
001955;Montferland;Gelderland;436445;0.1,
001987;Menterwolde;Groningen;335324;0.4,
001924;Goeree-Overflakkee;Zuid-Holland;455374;,
001927;Molenwaard;Zuid-Holland;361373;,
