id;title;provincie;dna;PVV,
id;title;provincie;dna;2012-0,
001859;Berkelland;Gelderland;436363;7.2,
001876;Bronckhorst;Gelderland;347373;6.9,
001883;Sittard-Geleen;Limburg;647616;19.5,
001884;Kaag en Braassem;Zuid-Holland;464474;10.5,
001891;Dantumadiel;Friesland;315324;8.7,
001892;Zuidplas;Zuid-Holland;673665;9.6,
001894;Peel en Maas;Limburg;445463;17,
001895;Oldambt;Groningen;527415;10.4,
001896;Zwartewaterland;Overijssel;431364;6.4,
001900;Súdwest-Fryslân;Friesland;535424;7.1,
001901;Bodegraven-Reeuwijk;Zuid-Holland;574575;8.2,
001903;Eijsden-Margraten;Limburg;367474;12.9,
001904;Stichtse Vecht;Utrecht;675665;10.1,
001908;Menameradiel;Friesland;335363;6.1,
001911;Hollands Kroon;Noord-Holland;344461;11,
001916;Leidschendam-Voorburg;Zuid-Holland;996939;9.8,
001926;Pijnacker-Nootdorp;Zuid-Holland;681775;10.9,
001955;Montferland;Gelderland;436445;12.5,
001987;Menterwolde;Groningen;335324;10.5,
001924;Goeree-Overflakkee;Zuid-Holland;455374;,
001927;Molenwaard;Zuid-Holland;361373;,
