id;title;provincie;dna;D66,
id;title;provincie;dna;2012-0,
001883;Sittard-Geleen;Limburg;647616;6.1,
001884;Kaag en Braassem;Zuid-Holland;464474;8.4,
001891;Dantumadiel;Friesland;315324;2.5,
001892;Zuidplas;Zuid-Holland;673665;6.4,
001894;Peel en Maas;Limburg;445463;5.7,
001895;Oldambt;Groningen;527415;3.8,
001896;Zwartewaterland;Overijssel;431364;2.5,
001900;Súdwest-Fryslân;Friesland;535424;5.3,
001901;Bodegraven-Reeuwijk;Zuid-Holland;574575;6.3,
001903;Eijsden-Margraten;Limburg;367474;7.7,
001904;Stichtse Vecht;Utrecht;675665;9,
001908;Menameradiel;Friesland;335363;5.2,
001911;Hollands Kroon;Noord-Holland;344461;5.8,
001916;Leidschendam-Voorburg;Zuid-Holland;996939;11.1,
001926;Pijnacker-Nootdorp;Zuid-Holland;681775;9.3,
001955;Montferland;Gelderland;436445;5.3,
001987;Menterwolde;Groningen;335324;4.2,
001924;Goeree-Overflakkee;Zuid-Holland;455374;,
001927;Molenwaard;Zuid-Holland;361373;,
