id;title;provincie;dna;PvdD,
id;title;provincie;dna;2012-0,
000881;Onderbanken;Limburg;337534;2,
000882;Landgraaf;Limburg;638516;2.3,
000888;Beek;Limburg;558545;1.7,
000889;Beesel;Limburg;436545;1.4,
000893;Bergen (L.);Limburg;336453;1.1,
000899;Brunssum;Limburg;728617;2.1,
000907;Gennep;Limburg;446555;1.4,
000917;Heerlen;Limburg;827717;2.2,
000928;Kerkrade;Limburg;729716;2.3,
000935;Maastricht;Limburg;936819;2.2,
000938;Meerssen;Limburg;468455;1.8,
000944;Mook en Middelaar;Limburg;387464;2.2,
000946;Nederweert;Limburg;446474;1.2,
000951;Nuth;Limburg;358444;1.9,
000957;Roermond;Limburg;746917;2.2,
000962;Schinnen;Limburg;358445;1.8,
000965;Simpelveld;Limburg;448455;1.7,
000971;Stein;Limburg;548455;2.1,
000981;Vaals;Limburg;529814;2.2,
000983;Venlo;Limburg;736827;1.5,
000984;Venray;Limburg;545645;1,
000986;Voerendaal;Limburg;368454;1.7,
000988;Weert;Limburg;647736;1.4,
000994;Valkenburg aan de Geul;Limburg;459436;2.4,
000995;Lelystad;Flevoland;652917;2.5,
001507;Horst aan de Maas;Limburg;445464;1.2,
001509;Oude IJsselstreek;Gelderland;436554;1.3,
001586;Oost Gelre;Gelderland;435464;1,
001598;Koggenland;Noord-Holland;353373;1.8,
001621;Lansingerland;Zuid-Holland;681676;1.8,
001525;Teylingen;Zuid-Holland;684576;1.7,
001581;Utrechtse Heuvelrug;Utrecht;497565;2.4,
001659;Laarbeek;Noord-Brabant;445365;1.2,
001663;De Marne;Groningen;227332;2.3,
001667;Reusel-De Mierden;Noord-Brabant;454471;1.1,
001669;Roerdalen;Limburg;348454;1.8,
001671;Maasdonk;Noord-Brabant;344374;0.9,
001672;Rijnwoude;Zuid-Holland;464475;1.3,
001674;Roosendaal;Noord-Brabant;756837;1.7,
001640;Leudal;Limburg;356463;1.5,
001641;Maasgouw;Limburg;358454;1.8,
001651;Eemsmond;Groningen;326312;1.9,
001652;Gemert-Bakel;Noord-Brabant;444454;1.3,
001655;Halderberge;Noord-Brabant;456654;1.4,
001658;Heeze-Leende;Noord-Brabant;487465;1.3,
001676;Schouwen-Duiveland;Zeeland;358464;1.9,
001680;Aa en Hunze;Drenthe;357353;1.8,
001681;Borger-Odoorn;Drenthe;337343;1.7,
001684;Cuijk;Noord-Brabant;445745;1.2,
001685;Landerd;Noord-Brabant;344373;1,
001690;De Wolden;Drenthe;346373;1.6,
001695;Noord-Beveland;Zeeland;258463;2.1,
001696;Wijdemeren;Noord-Holland;497574;2.2,
001699;Noordenveld;Drenthe;457343;1.6,
001700;Twenterand;Overijssel;423354;1,
001701;Westerveld;Drenthe;258351;2.2,
001702;Sint Anthonis;Noord-Brabant;345383;0.9,
001705;Lingewaard;Gelderland;554465;1.4,
001706;Cranendonck;Noord-Brabant;456564;1.3,
001708;Steenwijkerland;Overijssel;435443;1.5,
001709;Moerdijk;Noord-Brabant;465463;2,
001711;Echt-Susteren;Limburg;448544;1.9,
001714;Sluis;Zeeland;349564;1.6,
001719;Drimmelen;Noord-Brabant;466374;1.6,
001721;Bernheze;Noord-Brabant;454365;1,
001722;Ferwerderadiel;Friesland;224343;1.3,
001723;Alphen-Chaam;Noord-Brabant;366473;1.4,
001724;Bergeijk;Noord-Brabant;355463;1.3,
001728;Bladel;Noord-Brabant;455474;1.2,
001729;Gulpen-Wittem;Limburg;349464;2.1,
001730;Tynaarlo;Drenthe;366364;1.9,
001731;Midden-Drenthe;Drenthe;346353;1.3,
001734;Overbetuwe;Gelderland;453464;1.5,
001735;Hof van Twente;Overijssel;446464;0.9,
001740;Neder-Betuwe;Gelderland;331364;1,
001742;Rijssen-Holten;Overijssel;532465;0.6,
001771;Geldrop-Mierlo;Noord-Brabant;665546;1.7,
001773;Olst-Wijhe;Overijssel;345463;1.5,
001774;Dinkelland;Overijssel;334373;0.8,
001783;Westland;Zuid-Holland;654565;1.4,
001842;Midden-Delfland;Zuid-Holland;673477;1.4,
001859;Berkelland;Gelderland;436363;1.2,
001876;Bronckhorst;Gelderland;347373;1.4,
001883;Sittard-Geleen;Limburg;647616;1.9,
001884;Kaag en Braassem;Zuid-Holland;464474;1.7,
001891;Dantumadiel;Friesland;315324;1,
001892;Zuidplas;Zuid-Holland;673665;2,
001894;Peel en Maas;Limburg;445463;1.3,
001895;Oldambt;Groningen;527415;1.8,
001896;Zwartewaterland;Overijssel;431364;0.6,
001900;Súdwest-Fryslân;Friesland;535424;1.4,
001901;Bodegraven-Reeuwijk;Zuid-Holland;574575;1.4,
001903;Eijsden-Margraten;Limburg;367474;1.6,
001904;Stichtse Vecht;Utrecht;675665;1.9,
001908;Menameradiel;Friesland;335363;1.3,
001911;Hollands Kroon;Noord-Holland;344461;1.7,
001916;Leidschendam-Voorburg;Zuid-Holland;996939;2.7,
001926;Pijnacker-Nootdorp;Zuid-Holland;681775;2,
001955;Montferland;Gelderland;436445;1.4,
001987;Menterwolde;Groningen;335324;1.9,
001924;Goeree-Overflakkee;Zuid-Holland;455374;,
001927;Molenwaard;Zuid-Holland;361373;,
